ID,Sản phẩm,Thương hiệu,Nguồn,Link,Loại SP,Đơn vị tính,Giá niêm yết (VND),Phí ship (VND),Ngưỡng Freeship (VND),Địa phương,HTML,Ngày Thêm,Tình trạng Giá,TMĐT
ID011,Cà phê Rang Xay EXPERT BLEND 3 King Coffee,King Coffee,huyenthoaiviet.vn,https://huyenthoaiviet.vn/ca-phe-rang-xay-expert-blend-3-king-coffee-bich-500gam-269.html,Arabica Cầu Đất,500 g,"175,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price id=price-special>175.000đ</span>,2025-07-11,Lỗi,Không rõ
ID012,Cà Phê Rang Xay Inspire Blend King Coffee,King Coffee,huyenthoaiviet.vn,https://huyenthoaiviet.vn/ca-phe-rang-xay-inspire-blend-king-coffee-bich-500gam-266.html,"Blend (Culi Arabica, Robusta, Excelsa, Catimor)",500 g,"145,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price id=price-special>145.000đ</span>,2025-07-11,Lỗi,Không rõ
ID013,Cà Phê Rang Xay Nguyên Chất - Dòng Thích (250g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-rang-xay-nguyen-chat-dong-thich-250g,"Blend 60% Robusta, 40% Arabica",250 g,"140,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 140,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID014,Cà Phê Rang Xay Nguyên Chất - Dòng Thích (500g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-rang-xay-nguyen-chat-dong-thich-500g,"Blend 60% Robusta, 40% Arabica",500 g,"260,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 260,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID015,Cà phê nguyên chất hạt rang ARABICA – 250g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-arabica-250g,Arabica,250 g,"200,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 200,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID016,Cà phê nguyên chất hạt rang ARABICA – 500g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-arabica-500g,Arabica,500 g,"360,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 360,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID017,Cà Phê Hạt Rang Nguyên Chất - Dòng Culi (250g),RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-hat-rang-nguyen-chat-dong-culi-250g,Culi,250 g,"110,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 110,000₫ </span>",2025-07-11,Lỗi,Không rõ
ID018,Cà phê nguyên chất hạt rang CULI – 1000g,RitaVõ Premium Cafe,cafe.ritavo.com,https://cafe.ritavo.com/products/ca-phe-nguyen-chat-hat-rang-culi-1000g,Culi,1 kg,"380,000",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price product-price> 380,000₫ </span>",2025-07-11,Đã,Không rõ
ID019,CÀ PHÊ RANG XAY NGUYÊN CHẤT,HappyFood (Harvest),happyfood.vn,https://happyfood.vn/san-pham/ca-phe-rang-xay-nguyen-chat/,Blend Arabica & Robusta,500 g,"156,000",Theo ĐVVC,Không rõ,Toàn quốc,"<p class=price><span class=woocommerce-Price-amount amount><bdi>156,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></p>",2025-07-11,Đã,Không rõ
ID020,Hộp 500g cà phê đặc sản Eatu Café Specialty Coffee,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-dac-san-viet-nam-100-robusta-da-cham-diem-500g/,Robusta (Specialty),500 g,"210,000",Theo ĐVVC,"500,000",Toàn quốc,"<p class=price><del aria-hidden=true><span class=woocommerce-Price-amount amount><bdi>230,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></del> <ins><span class=woocommerce-Price-amount amount><bdi>210,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>",2025-07-11,Đã,Không rõ
ID021,Cà phê đặc sản Arabica Typica 250gr,LKT Artisan Coffee,lkt.coffee,https://www.lkt.coffee/product-page/c%C3%A0-ph%C3%AA-%C4%91%E1%BA%B7c-s%E1%BA%A3n-arabica-typica-250gr,Arabica Typica,250 g,"450,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>450.000₫</span>,2025-07-11,Đã,Không rõ
ID023,Dark Vader Arabica Cà Phê,Bosgaurus Coffee Roasters,bosgauruscoffee.com,https://bosgauruscoffee.com/,Arabica,Không rõ,$10.00,Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>$10.00</div>,2025-07-11,Đã,Không rõ
ID024,CÀ PHÊ RANG XAY CLASSIC FILTER 500G,CAFÉ IIN,cafeiin.com,https://cafeiin.com/classic-filter-500g/,Robusta,500 g,"175,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount>175.000&nbsp;<span class=woocommerce-Price-currencySymbol>₫</span></span>,2025-07-11,Đã,Không rõ
ID026,Cà phê rang xay nguyên chất Thức tỉnh 2,Tây Nguyên Xanh,greenhighlandcoffee.com.vn,https://greenhighlandcoffee.com.vn/product/ca-phe-rang-xay-nguyen-chat-thuc-tinh-2-coffee-tay-nguyen-xanh-100g/,Blend Arabica & Robusta,100 g,"17,850",Theo ĐVVC,Không rõ,Toàn quốc,"<span class=price><ins><span class=woocommerce-Price-amount amount><bdi>17,850<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span></ins></span>",2025-07-11,Đã,Không rõ
ID027,CÀ PHÊ RANG XAY TRUYỀN THỐNG (500g/túi),Vinacafé,vinacafe.com.vn,https://vinacafe.com.vn/san-pham/cafe,Blend,500 g,"163,889",Theo ĐVVC,Không rõ,Toàn quốc,<span>Giá bán lẻ: 163.889 đ</span>,2025-07-11,Đã,Không rõ
ID030,Cà phê Ocean Blue bột - túi Zipper 250gr,Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-ocean-blue-bot-tui-zipper-250gr-ocean-blue-ground-coffee-250gr-zipper-bag,Blend,250 g,"85,800",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>85.800₫</div>,2025-07-11,Đã,Không rõ
ID031,Cà phê bột MC3 (MC3 ground coffee),Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-bot-mc3-mc3-ground-coffee,Blend,500 g,"220,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>220.000₫</div>,2025-07-11,Đã,Không rõ
ID032,Cà phê bột Arabica (Arabica Ground Coffee),Mê Trang,metrang.com.vn,https://metrang.com.vn/ca-phe-bot-arabica-arabica-ground-coffee,Arabica,500 g,"88,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=product-price>88.000₫</div>,2025-07-11,Đã,Không rõ
ID033,Cà Phê Hạt Rang AnTháiCafé Túi Hương Chồn - 500g,AnTháiCafé,tiki.vn,https://tiki.vn/ca-phe-hat-rang-anthaicafe-tui-huong-chon-500g-p53304705.html,Blend (Hương Chồn),500 g,"139,100","14,000 - 25,000","149,000",Toàn quốc,<div class=product-price__current-price>139.100 ₫</div>,2025-07-11,Đã,Không rõ
ID034,Cà phê Hạt rang Robusta Truyền thống,AnTháiCafé,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-robusta-truyen-thong/,Robusta,500 g,"91,500",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>91.500&nbsp;<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID035,Cà phê Hạt rang Arabica (Thơm Ngon),AnTháiCafé,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-arabica-thom-ngon/,Arabica,500 g,"145,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>145.000&nbsp;<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID036,Cà Phê Hạt Rang Xay Espresso hộp (250gr),HIUP Coffee,anthaivietnam.com,https://anthaivietnam.com/san-pham/ca-phe-hat-rang-xay-espresso-hop-250gr-hiup-coffee/,Blend,250 g,"87,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=woocommerce-Price-amount amount><bdi>87.000&nbsp;<span class=woocommerce-Price-currencySymbol>VND</span></bdi></span>,2025-07-11,Đã,Không rõ
ID037,Cà phê phin giấy Arabica,Early Morning,earlymorning.vn,https://earlymorning.vn/arabica-drip-bag-coffee-ca-phe-phin-giay-tui-10-goi,Arabica,150 g (10 gói x 15g),"200,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price-item price-item--regular>200.000₫</span>,2025-07-11,Đã,Không rõ
ID052,Cà Phê Rang Xay Original 1 250G,The Coffee House,thecoffeehouse.com,https://thecoffeehouse.com/products/ca-phe-rang-xay-original-1-250g-1,Robusta Đắk Lắk,250 g,"82,000",Theo ĐVVC,Không rõ,Toàn quốc,<div class=price-ins> 82.000 đ </div>,2025-07-11,Đã,Không rõ
ID113,Cà phê rang xay Ông Bầu OB 2 hài hòa,Ông Bầu,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-rang-xay-ong-bau-ob-2-hai-hoa-250g,Blend,250 g,"91,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>91.000₫</strong></p>,2025-07-11,Đã,Không rõ
ID025,Cà phê rang xay MacCoffee Café Phố,MacCoffee,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-rang-xay-maccoffee-cafe-pho-450g,Blend,450 g,"119,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>119.000₫</strong></p>,2025-07-11,Đã,Không rõ
ID029,Cà phê đặc sản ARABICA BOURBON Cầu Đất,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-dac-san-arabica-bourbon-cau-dat,Arabica Bourbon Cầu Đất,250 g,"150,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>150.000₫</span>,2025-07-11,Đã,Không rõ
ID043,Cà Phê Rang Xay Truyền Thống Highlands Coffee 200g,Highlands Coffee,shop.highlandscoffee.com.vn,https://shop.highlandscoffee.com.vn/ban-moi,Blend Robusta & Arabica,200 g,"105,000","10,000","99,000",TP.HCM,<span class=price id=price-preview>105.000₫</span>,2025-07-11,Đã,Không rõ
ID048,Cà phê rang xay Moka Highlands Coffee 200g/gói,Highlands Coffee,shop.highlandscoffee.com.vn,https://shop.highlandscoffee.com.vn/ca-phe-rang-xay-moka-highlands-coffee-200g-goi,Moka,200 g,"145,000","10,000","99,000",TP.HCM,<span class=price price--highlight id=price-preview>145.000₫</span>,2025-07-11,Đã,Không rõ
ID051,Cà phê rang xay Sáng tạo 1 Trung Nguyên,Trung Nguyên Legend,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-sang-tao-so-1-goi-340g,Culi Robusta,340 g,"85,500",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>85.500₫</strong></p>,2025-07-11,Đã,Không rõ
ID062,100% ARABICA PHA PHIN,Dehavi Coffee,dehavi.com,https://dehavi.com/250gr-100-arabica-pha-phin,Arabica,250 g,"100,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>100.000₫</span>,2025-07-11,Đã,Không rõ
ID063,100% ROBUSTA PHA PHIN,Dehavi Coffee,dehavi.com,https://dehavi.com/250gr-100-robusta-pha-phin,Robusta,250 g,"80,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>80.000₫</span>,2025-07-11,Đã,Không rõ
ID064,Cà phê ARABICA Pha Máy,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-arabica-pha-may,Arabica,250 g,"150,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>150.000₫</span>,2025-07-11,Đã,Không rõ
ID065,Cà phê ROBUSTA Pha Máy,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-robusta-pha-may,Robusta,250 g,"140,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>140.000₫</span>,2025-07-11,Đã,Không rõ
ID073,Cà phê Mê Trang MC 1,Mê Trang,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-me-trang-mc-so-1-goi-500g,Blend,500 g,"112,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>112.000₫</strong></p>,2025-07-11,Đã,Không rõ
ID074,Cà phê Mê Trang Robusta,Mê Trang,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-me-trang-robusta-goi-500g,Robusta,500 g,"79,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>79.000₫</strong></p>,2025-07-11,Đã,Không rõ
NB0005,Espresso Nâu 30% Arabica và 70% Robusta,L'amant Café,lamantcafe.vn,https://lamantcafe.vn/collections/ca-phe-nguyen-hat-va-rang-xay,Hạt mộc,1 kg,360000,,,,360.000₫,2026-06-21,Đã,Website
NB0012,Cà phê sữa đá Ông Bầu 720g,Ông Bầu,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-sua-da-ong-bau-720g,Cà phê sữa,720g,75000,,,,75.000đ,2026-06-21,Đã,BHX
NB0013,Cà phê muối Ông Bầu 660g,Ông Bầu,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-muoi-ong-bau-660g,Cà phê muối,660g,85000,,,,85.000đ,2026-06-21,Đã,BHX
NB0014,Cà phê dừa Ông Bầu 220g,Ông Bầu,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-dua-ong-bau-220g,Cà phê dừa,220g,30000,,,,30.000đ,2026-06-21,Đã,BHX
NB0015,Cà phê 3in1 TNI King Coffee X3 324g,TNI King Coffee,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-hoa-tan-3in1-tni-king-coffee-x3-324g-12-goi-x-27g,Cà phê sữa,324g,43000,,,,43.000đ,2026-06-21,Đã,BHX
NB0016,Cà phê MacCoffee Café Phố 3 in 1 hương chồn 160g,MacCoffee,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-maccoffee-cafe-pho-3-in-1-huong-chon-160g,Cà phê sữa,160g,42000,,,,42.000đ,2026-06-21,Đã,BHX
NB0017,Cà phê sữa MacCoffee Café Phố Gold 3in1 870g,MacCoffee,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-sua-maccoffee-cafe-pho-gold-3in1-870g,Cà phê sữa,870g,153000,,,,153.000đ,2026-06-21,Đã,BHX
NB0019,Combo cà phê Trung Nguyên 500g và kem đặc NSPN 380g,Trung Nguyên,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/combo-ca-phe-trung-nguyen-500g-va-kem-dac-nspn-380g,Combo,880g,104000,,,,104.000đ,2026-06-21,Đã,BHX
NB0020,Cà phê Trung Nguyên Nâu sức sống đại ngàn 500g,Trung Nguyên,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-nau-goi-500g,Rang xay,500g,122000,,,,122.000đ,2026-06-21,Đã,BHX
NB0021,Cà phê Trung Nguyên S chinh phục thành công 500g,Trung Nguyên,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-chinh-phuc-s-goi-500g,Rang xay,500g,83000,,,,83.000đ,2026-06-21,Đã,BHX
NB0022,Cà phê quán chuẩn vị Phương Vy 500g,Phương Vy,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-quan-chuan-vi-phuong-vy-500g,Rang xay,500g,81000,,,,81.000đ,2026-06-21,Đã,BHX
NB0023,Cà phê Phương Vy Moka 500g,Phương Vy,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-rang-xay-phuong-vy-moka-500g,Rang xay,500g,87000,,,,87.000đ,2026-06-21,Đã,BHX
NB0024,Cà Phê Rang Xay Moka Highlands Coffee 200g/gói,Highlands Coffee,shop.highlandscoffee.com.vn,https://shop.highlandscoffee.com.vn/products/ca-phe-rang-xay-moka-highlands-coffee-200g-goi,Rang xay,200g,136300,,,,136.300₫,2026-06-21,Đã,Website
NB0028,Combo Cà Phê Yêu Thương Trung Nguyên Legend,Trung Nguyên Legend,trungnguyenecoffee.com,https://trungnguyenecoffee.com/product/combo-ca-phe-yeu-thuong-trung-nguyen-legend-sao-chep/,Combo,,438200,,,,438.200 ₫,2026-06-21,Đã,Website
NB0029,HỘP QUÀ TẶNG CÀ PHÊ NĂNG LƯỢNG YÊU THƯƠNG,Trung Nguyên Legend,trungnguyenecoffee.com,https://trungnguyenecoffee.com/product/bo-qua-tang-trung-nguyen-legend/,Hộp quà,,549000,,,,549.000 ₫,2026-06-21,Đã,Website
NB0033,Cà phê muối Ông Bầu 220g,Ông Bầu,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-muoi-ong-bau-220g,Cà phê muối,220g (10 gói),48000,,,,48.000đ,2026-06-21,Đã,BHX
NB0036,Cà phê sữa đá Ông Bầu 240g,Ông Bầu,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-sua-da-ong-bau-240g-10-goi-x-24g,Cà phê sữa,240g (10 gói),44000,,,,44.000đ,2026-06-21,Đã,BHX
NB0038,Cà phê sữa VinaCafé Gold Original 800g,VinaCafé,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-sua-vinacafe-gold-original-40goi-x-20g,Cà phê sữa,800g (40 gói),160000,,,,160.000đ,2026-06-21,Đã,BHX
NB0039,Cà phê đen đá NesCafé Café Việt 560g,NesCafé,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-den-nescafe-cafe-viet-goi-16g-hop-35-goi,Cà phê đen,560g (35 gói),158000,,,,158.000đ,2026-06-21,Đã,BHX
NB0040,Cà phê sữa Wake Up Café Sài Gòn 456g,Wake Up,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/cafe-wake-up-sai-gon-bich-19g-24goi,Cà phê sữa,456g (24 gói),55000,,,,55.000đ,2026-06-21,Đã,BHX
NB0042,Cà phê sữa VinaCafé Gold Original 480g,VinaCafé,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/cafe-sua-vinacafe-gold-bich-20g-24goi,Cà phê sữa,480g (24 gói),98000,,,,98.000đ,2026-06-21,Đã,BHX
NB0043,Cà phê sữa G7 3in1 336g,G7,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-g7-3in1-hop-21-sachets-16g,Cà phê sữa,336g (21 gói),85000,,,,85.000đ,2026-06-21,Đã,BHX
NB0044,Cà phê sữa G7 3in1 288g,G7,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-g7-3in1-hop-18-sticks-16g,Cà phê sữa,288g (18 gói),76000,,,,76.000đ,2026-06-21,Đã,BHX
NB0056,Cà phê hòa tan Nescafé Café Việt vị Tequila,Nescafé,bachhoaxanh.com,https://www.bachhoaxanh.com/kinh-nghiem-hay/tong-hop-cac-loai-ca-phe-hoa-tan-duoc-ua-chuong-nhat-hien-nay-1401200,Hòa tan vị rượu,12 gói,50000,,,,50.000 đồng,2026-06-21,Đã,BHX
NB0057,Combo cà phê sữa MacCoffee 290g & kem đặc NSPN 380g,MacCoffee,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/combo-ca-phe-sua-maccoffee-290g-va-kem-dac-nspn-380g,Combo,670g,79000,,,,79.000đ,2026-06-21,Đã,BHX
NB0064,Cà phê sữa G7 3in1 800g,G7,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-g7-3-in-1-bich-50-sachets-16g,Cà phê sữa,800g (50 gói),169000,,,,169.000đ,2026-06-21,Đã,BHX
NB0065,Cà phê đen G7 30g,G7,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-g7-hoa-tan-den-hop-15-goi-2gr,Cà phê đen,30g (15 gói),41000,,,,41.000đ,2026-06-21,Đã,BHX
NB0066,Cà phê Classic Trung Nguyên Legend 204g,Trung Nguyên Legend,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-hoa-tan-trung-nguyen-legend-classic-204g,Hòa tan,204g (12 gói),54000,,,,54.000đ,2026-06-21,Đã,BHX
NB0067,Cà phê sữa đá MacCoffee Café Phố 720g,MacCoffee,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-sua-hoa-tan-maccoffee-cafe-pho-bich-720g-24g-x-30-goi,Cà phê sữa,720g (30 gói),170000,,,,170.000đ,2026-06-21,Đã,BHX
NB0068,Cà phê sữa đá Trung Nguyên Legend 225g,Trung Nguyên Legend,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-sua-hoa-tan-trung-nguyen-hop-9-goi,Cà phê sữa,225g (9 gói),96000,,,,96.000đ,2026-06-21,Đã,BHX
NB0070,Cà phê sữa Passiona Trung Nguyên 224g,Trung Nguyên,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-hoa-tan/ca-phe-passiona-cho-phai-dep-224gam,Cà phê sữa,224g (14 gói),86500,,,,86.500đ,2026-06-21,Đã,BHX
NB0071,Cà phê Trung Nguyên chế phin 1 500g,Trung Nguyên,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-goi-500g,Pha phin,500g,159000,,,,159.000đ,2026-06-21,Đã,BHX
NB0072,Cà phê Trung Nguyên sáng tạo 3 340g,Trung Nguyên,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-sang-tao-so-3-goi-340g,Rang xay,340g,129000,,,,129.000đ,2026-06-21,Đã,BHX
NB0073,Cà phê Trung Nguyên sáng tạo 5 340g,Trung Nguyên,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-sang-tao-so-5-goi-340g,Rang xay,340g,165000,,,,165.000đ,2026-06-21,Đã,BHX
NB0074,Cà Phê G7 3in1 – Bịch 50 Sachets,Trung Nguyên,trungnguyenecoffee.com,https://trungnguyenecoffee.com/product/ca-phe-g7-3in1-bich-50-sachets/,Hòa tan,Bịch 50 gói,197000,,,,197.000 ₫,2026-06-21,Đã,Website
NB0075,G7 2in1 hộp 15 sachets,Trung Nguyên,trungnguyenecoffee.com,https://trungnguyenecoffee.com/product/g7-2in1-hop-15-sachets/,Hòa tan,Hộp 15 gói,79000,,,,79.000 ₫,2026-06-21,Đã,Website
